PIB 	Polyisobutylene 	
PIR 	Polyisocyanurate 	
PK 	Polyketone 	
PLA 	Poly Lactic Acid 	
PMAN 	Polymethactylonitrile 	
PMI 	Polymethacrylimide 	
PMMA 	Polymethylmethacrylate (Acrylic) 	
PMMI 	Poly-N-Methyl Methacrylimide 	
PMP 	Poly-4-Methylpentene-1 	
PMS 	Poly-Alpha-Methylstyrene 	
PO 	Polyolefin 	
POM 	Polyoxymethylene (Acetal)
PP 	Polypropylene
PP + E / P 	Blend of Polypropylene and Ethylene / Propylene 	
PP + EPDM 	Blend of Polypropylene and Polyethylene-Popylenediene 	
PP + NBR 	Blend of Polypropylene and Nitrile Butadiene Rubber 	
PPA 	Polyphthalamide 	
PPC 	Chlorinated Polypropylene or Polyphthalate Carbonate 	
PPE 	Polyphenylene Ether 	
PPE + PA 	Blend of Polyphenylene Ether and Polyamide 	
PPE + PS 	Blend of Polyphenylene Ether and Polystyrene 	
PPE + SB 	Blend of Polyphenylene Ether and Styrene Butadiene 	
PPI 	Polymeric Polyisocyanate 	
PPO* 	Polyphenylene Oxide 	
PPO* / PA 	Polyphenylene Oxide / Polyamide 	
PPO* / PS 	Polyphenylene Oxide / Polystyrene 	
PPOX 	Polypropylene Oxide 	
PPS 	Polyphenylene Sulfide 	
PPSU 	Polyphenylene Sulfone 	
PPT 	Polypropylene Terephthalate 	
PS 	Polystyrene 	
PS / PPO 	Polystyrene / Polyphenylene Oxide 	
PS + PE 	Blend of Polystyrene and Polyethylene 	
PS-b-PI 	Polystyrene/Polyisoprene Block Copolymer 	
PSO	Polysulfone
PSU 	Polysulfone
PTFE 	Polytetrafluoroethylene 	
PTMT 	Polytetramethylene Terephthalate 	
PU	Polyurethane
PUR 	Polyurethane
PUR-S 	Polyurethane, Thermosetting 	
PUR-T 	Polyurethane, Thermoplastic 	
PVA 	Polyvinyl Alcohol (sometimes Polyvinyl Acetate) 	
PVAC 	Polyvinyl Acetate 	
PVAL 	Polyvinyl Alcohole 	
PVB 	Polyvinyl Butyryl
PVC 	Polyvinyl Chloride
PVC+ABS 	Blend of Polyvinyl Chloride and Acrylonitrile Butadiene Styrene
PVCA 	Polyvinyl Chloride Acetate
PVDA 	Polyvinylidene Acetate
PVDC 	Polyvinylidene Chloride
PVDF 	Polyvinylidene Fluoride
PVF 	Polyvinyl Fluoride
PVFM 	Polyvinyl Formal
PVK 	Polyvinyl Carbazole
PVOH 	Polyvinyl Alcohol 
PVOH	(Polyvinyl Alcohol)
PVP 	Polyvinyl Pyrrolidone
SAN 	Styrene Acrylonitrile
SBC 	Styrene Butadiene Copolymer
SBR 	Styrene Butadiene Rubber
SBS 	Styrene Butadiene Styrene Block Copolymer
SEBS 	Styrene Ethylene Butylene Styrene Block Copolymer
SEP 	Styrene Ethylene Propylene
SI	Silicone
SIS 	Styrene Isoprene Styrene Block Copolymer
SMA 	Styrene Maleic Anhydride Copolymer
SMC 	Sheet Molding Compound
SMMA 	Styrene Methyl Methacrylate
SMS 	Styrene A-Methyl Styrene
SP 	    Saturated Polyester
SVA 	Styrene Vinyl Acrylonitrile
TEO 	Thermoplastic Elastic Olefin
TMC 	Thick Molding Compound
TPE 	Thermoplastic Elastomer
TPC-ET 	Thermoplastic Elastomer
TPE-O	TPO Thermoplastic Elastomer, Olefinic
TPE-S 	Thermoplastic Elastomer, Styrenic
TPU 	Thermoplastic Urethane
TPV 	Thermoplastic Vulcanites
UF 	Urea Formaldehylde
UHMWPE 	Ultra High Molecular Weight Polyethylene
ULDPE 	Ultra Low Density Polyethylene
UP, UPE 	Unsaturated Polyester (Thermoset)
VA 	Vinyl Acetate
VAE 	Vinyl Acetate Ethylene
VC / MMA 	Vinylchloride / Methyl Methacrylate
VC / A 	Vinylchloride / Acetate
VC / E 	Vinylchloride / Ethylene
VC / E / MAK 	Vinylchloride / Ethylene / Methylacrylate
VC / E / VAC 	Vinylchloride / Ethylene / Vinylacrylate
VC / MAK 	Vinylchloride / Methylacrylate
VC / OAK 	Vinylchloride / Octylacrylate
VC / VAC 	Vinylchloride / Vinylacetate
VC / VDC 	Vinylchloride / Vinylidene Chloride
VLDPE 	Very Low Density Polyethylene
XLPE 	Crosslinkable Polyethylene
